ssn,name,address,cellPhone,phoneNumber,email,role,rank,licence
2209955782,Allen Ley,Marylane85,86940129,2358266,Allenley@nanair.com,pilot,captain,NABAE146
2907675667,Felecia Moye,Marylane86,86940129,2358266,Felecia@nanair.com,pilot,captain,NABAE146
1309797899,Tyler Anderson,Marylane87,86940129,2358266,Tyler@nanair.com,pilot,captain,NAFOKKER42
0405983169,Oli Birgir,Bjarkavellir 5C,7830405,4622508,Olib@Nanair.is,pilot,captain,NAFOKKER42
2001851854,Antonia Wright,Marylane20,86940121,2358265,Antonia@nanair.com,pilot,captain,NAAIRBUSA11
0605918591,Timothy Burdine,Marylane21,86940122,2358267,Wilma@nanair.com,pilot,captain,NAAIRBUSA11
0601918591,James Martinez,Marylane21,81940122,3358267,James@nanair.com,pilot,captain,NAFOKKER43
0602918591,Robert Hayes,Marylane31,82940122,3358267,Robert@nanair.com,pilot,captain,NAFOKKER43
0603918591,Renee Rich,Marylane41,82940122,3358267,Renee@nanair.com,pilot,captain,NABOEING737
1605918591,Latisha Hayes,Marylane51,83940122,2358267,Latisha@nanair.com,pilot,captain,NABOEING737
2706838569,Gerard Nelson,Fellsmúli4,8912803,2358211,Gerard@nanair.com,pilot,captain,NAFOKKER99
2806838569,Percy J Snyder,Fellsmúli5,8998543,2358211,Percy@nanair.com,pilot,captain,NAFOKKER99
2906838569,Wanda E Chung,Fellsmúli6,2398803,2358211,Wanda@nanair.com,pilot,captain,NAFOKKER14
3006838569,Patrick Gutier,Fellsmúli7,5498803,2358211,Patrick@nanair.com,pilot,captain,NAFOKKER14
0106838569,Genevieve Asseur,Fellsmúli8,6598803,2358211,Genevieve@nanair.com,pilot,captain,NAFOKKER45
0206838569,James R Young,Fellsmúli9,8869803,2358211,James@nanair.com,pilot,captain,NAFOKKER45
0306838569,Booker D Rose,Fellsmúli10,9898803,2358211,Booker@nanair.com,pilot,captain,NABOEING737
0406838569,Yvonne J Lugo,Fellsmúli11,8954803,2358211,Yvonne@nanair.com,pilot,captain,NABOEING737
0506838569,Carmen D Geer,Fellsmúli12,8158803,2358211,Carmen@nanair.com,pilot,captain,NAAIRBUSA6
0606838569,Judith T Gray,Fellsmúli12,89988088,2358211,Judith@nanair.com,pilot,captain,NAAIRBUSA6
