<<<<<<< HEAD
flightNumber,departingFrom,arrivingAt,departureTime,arrivalTime,aircraftID,captain,coPilot,fa1,fa2
NA010,Kef,Tin,2019-12-27T09:40:00,2019-12-27T11:40:00,NAFOKKER14,2209955782,2410876598,1811931544,2509913418
NA011,Tin,Kef,2019-12-27T12:40:00,2019-12-27T14:40:00,NAFOKKER14,2209955782,2410876598,1811931544,2509913418
NA020,KEF,LYR,2019-12-20T06:45:00,2019-12-20T10:45:00,NAFOKKER42,,,,
NA021,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,NAFOKKER42,,,,
NA022,KEF,LYR,2019-12-22T06:16:00,2019-12-22T10:16:00,NAFOKKER43,2209955782,2211658134,2509913418,2509913418
NA023,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,NAFOKKER43,2209955782,2211658134,2509913418,2509913418
NA2275,KEF,GOH,2019-12-22T06:21:00,2019-12-22T09:21:00,NAFOKKER44,1309797899,2504939263,0409858797,3003962187
NA2581,GOH,KEF,2019-12-22T10:21:00,2019-12-22T13:21:00,NAFOKKER44,1309797899,2504939263,0409858797,3003962187
NA8734,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,NAFOKKER45,,,,
NA8735,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,NAFOKKER45,,,,
NA020,Keflavik,Nuuk,"19/12/10, 11:11:11","19/12/10, 12:12:12",NAFokkerF28,,,,
NA021,Nuuk,Keflavik,"19/11/15, 12:12:12","19/11/15, 13:13:13",NAFokkerF28,,,,
=======
flightNumber,departingFrom,arrivingAt,departureTime,arrivalTime,aircraftID,captain,coPilot,fa1,fa2
NA010,Kef,Tin,2019-12-27T09:40:00,2019-12-27T11:40:00,NAFOKKER14,2209955782,2410876598,1811931544,2509913418
NA011,Tin,Kef,2019-12-27T12:40:00,2019-12-27T14:40:00,NAFOKKER14,2209955782,2410876598,1811931544,2509913418
NA020,KEF,LYR,2019-12-20T06:45:00,2019-12-20T10:45:00,NAFOKKER42,,,,
NA021,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,NAFOKKER42,,,,
NA022,KEF,LYR,2019-12-22T06:16:00,2019-12-22T10:16:00,NAFOKKER43,2209955782,2211658134,2509913418,2509913418
NA023,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,NAFOKKER43,2209955782,2211658134,2509913418,2509913418
NA2275,KEF,GOH,2019-12-22T06:21:00,2019-12-22T09:21:00,NAFOKKER44,1309797899,2504939263,0409858797,3003962187
NA2581,GOH,KEF,2019-12-22T10:21:00,2019-12-22T13:21:00,NAFOKKER44,1309797899,2504939263,0409858797,3003962187
NA8734,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,NAFOKKER45,jon,sveppi,brynjar,logi
NA8735,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,NAFOKKER45,jon,sveppi,brynjar,logi
NA020,dwdwdw,Nuuk,"5/6/12, 14:55:13","9/9/9, 13:00:00",ADS,,,,
NA021,123,123,123,123,123,,,,
,123,123,123,123,123,,,,
>>>>>>> 4de738b6e04b52a72f2d562473d2a7b2e98c56d1
